Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
CBT011,5528,0.106654,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,F,Antik
CBT015,5542,0.0811592,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,M,Antik
I14627,5545,0.0292149,TUR_SE_Batman_ChL,Neolitik Sonrası,Turkey,LazaridisScience2022,37.79,41.01,1240K,F,Antik
I4622,5545,0.0121427,TUR_SE_Şırnak_ChL_B,Neolitik Sonrası,Turkey,LazaridisScience2022,37.5432,41.8662,1240K,M,Antik
CBT016,5548,0.135079,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,F,Antik
ART004,5662,0.00502949,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
ART039,5666,0.00932416,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,F,Antik
ART005,5674,0.017805,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,F,Antik
I1584_v43.5_all,5680,0.251631,TUR_Marmara_Barcın_ChL,Neolitik Sonrası,Turkey,LazaridisScience2022,40.3,29.56,1240K,F,Antik
ART042,5728,0.236839,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
IKI024,5819,0.00396636,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,M,Antik
I10545,6020,0.0612349,TUR_Marmara_Ilıpınar_ChL,Neolitik Sonrası,Turkey,LazaridisScience2022,40.48,29.296,1240K,M,Antik
I10547,6020,0.0297608,TUR_Marmara_Ilıpınar_ChL,Neolitik Sonrası,Turkey,LazaridisScience2022,40.48,29.296,1240K,F,Antik
kum4,6700,0.00873638,Anatolia_Neolithic,Neolitik,Turkey,OmrakCurrentBiology2016,39.95,26.2,Rastgele dizileme,F,Antik
kum6,6700,0.0993862,Anatolia_Neolithic,Neolitik,Turkey,OmrakCurrentBiology2016,39.95,26.2,Rastgele dizileme,F,Antik
KRD002,6869,0.00736878,TellKurdu_MC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.329405,36.444255,1240K,M,Antik
CBT018,7535,0.0650301,Büyükkaya_EC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.022056,34.620611,1240K,F,Antik
I0723,7620,0.0317126,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.26,29.65,1240K,M,Antik
I0724,7620,0.0105947,TUR_Marmara_Menteşe_N,Neolitik,Turkey,LazaridisScience2022,40.26,29.65,1240K,M,Antik
I0724,7620,0.00292425,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.26,29.65,1240K,M,Antik
I0726,7620,0.0270386,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.26,29.65,1240K,F,Antik
I0727,7620,0.0125288,TUR_Marmara_Menteşe_N,Neolitik,Turkey,LazaridisScience2022,40.26,29.65,1240K,M,Antik
I0727,7620,0.00477077,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.26,29.65,1240K,M,Antik
KRD003,7642,0.0238042,TellKurdu_EC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.329405,36.444255,1240K,M,Antik
KRD004,7652,0.00370686,TellKurdu_EC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.329405,36.444255,1240K,F,Antik
KRD001,7660,0.0108485,TellKurdu_EC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.329405,36.444255,1240K,M,Antik
KRD005,7684,0.00214562,TellKurdu_EC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.329405,36.444255,1240K,M,Antik
KRD006,7720,0.0177404,TellKurdu_EC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.329405,36.444255,1240K,F,Antik
I0723,7855,0.0608581,TUR_Marmara_Menteşe_N,Neolitik,Turkey,LazaridisScience2022,40.26,29.65,1240K,M,Antik
CCH285,7970,0.0704374,Anatolia_Neolithic,Neolitik,Turkey,YakaSomelCurrBio2021,37.6661,32.8257,Rastgele dizileme,F,Antik
CCH294,7970,0.257745,Anatolia_Neolithic,Neolitik,Turkey,YakaSomelCurrBio2021,37.6661,32.8257,Rastgele dizileme,M,Antik
CCH311,7970,0.130959,Anatolia_Neolithic,Neolitik,Turkey,YakaSomelCurrBio2021,37.6661,32.8257,Rastgele dizileme,F,Antik
I1585,8027,0.379656,TUR_Marmara_Barcın_N,Neolitik,Turkey,LazaridisScience2022,40.3,29.56666667,1240K,F,Antik
I1579,8048,0.313284,TUR_Marmara_Barcın_N,Neolitik,Turkey,LazaridisScience2022,40.3,29.56666667,1240K,F,Antik
Bar8,8050,6.01755,Anatolia Early Neolithic,Neolitik,Turkey,HofmanovaPNAS2016,40.3037,29.6085,Rastgele dizileme,F,Antik
cth739,8095,0.189873,Anatolia_Neolithic,Neolitik,Turkey,YakaSomelCurrBio2021,37.6661,32.8257,Rastgele dizileme,F,Antik
I0854,8101,0.102259,TUR_Marmara_Barcın_N_sister.of.I0736,Neolitik,Turkey,LazaridisScience2022,40.3037,29.6085,1240K,F,Antik
I1580,8108,0.296273,TUR_Marmara_Barcın_N,Neolitik,Turkey,LazaridisScience2022,40.3037,29.6085,1240K,F,Antik
Bar25,8205,8.86314,EN,Neolitik,Turkey,MarchiCell2022,40.266964,29.602068,Rastgele dizileme,M,Antik
I0707,8220,0.469355,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.3037,29.57,1240K,F,Antik
I0708,8220,0.352023,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.3037,29.57,1240K,M,Antik
I0709,8220,0.477074,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.3037,29.57,1240K,M,Antik
I0744,8220,0.153666,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.3037,29.57,1240K,M,Antik
I0745,8220,0.448817,Anatolia_Neolithic,Neolitik,Turkey,MathiesonNature2015,40.3037,29.57,1240K,M,Antik
